second,Volt1,Volt2
0.0,3.673618087,0.080402009
1.0,3.633417083,0.060301507
2.0,3.69371859,0.020100502
3.0,3.69371859,0.080402009
4.0,3.633417083,0.080402009
5.0,3.633417083,0.080402009
6.0,3.633417083,0.080402009
7.0,3.613316581,0.080402009
8.0,3.673618087,0.080402009
9.0,3.633417083,0.100502512
10.0,3.69371859,0.080402009
11.0,3.673618087,0.080402009
12.0,3.673618087,0.080402009
13.0,3.673618087,0.080402009
14.0,3.69371859,0.080402009
15.0,3.69371859,0.100502512
16.0,3.633417083,0.080402009
17.0,3.69371859,0.160804018
18.0,3.69371859,0.100502512
19.0,3.69371859,0.160804018
20.0,3.69371859,0.160804018
21.0,3.69371859,0.160804018
22.0,3.69371859,0.241206028
23.0,3.69371859,0.26130653
24.0,3.69371859,0.341708539
25.0,3.713819092,0.482412055
26.0,3.69371859,0.582914567
27.0,3.754020097,0.663316576
28.0,3.69371859,0.804020092
29.0,3.69371859,0.904522604
30.0,3.69371859,0.96482411
31.0,3.69371859,1.045226119
32.0,3.713819092,1.145728631
33.0,3.713819092,1.22613064
34.0,3.69371859,1.306532649
35.0,3.754020097,1.386934659
36.0,3.774120599,1.467336668
37.0,3.69371859,1.547738677
38.0,3.69371859,1.628140686
39.0,3.754020097,1.688442193
40.0,3.69371859,1.768844202
41.0,3.774120599,1.788944705
42.0,3.713819092,1.869346714
43.0,3.69371859,1.949748723
44.0,3.774120599,1.929648221
45.0,3.754020097,2.01005023
46.0,3.713819092,2.090452239
47.0,3.754020097,2.090452239
48.0,3.774120599,2.110552741
49.0,3.754020097,2.231155755
50.0,3.713819092,2.251256257
51.0,3.774120599,2.27135676
52.0,3.754020097,2.27135676
53.0,3.713819092,2.351758769
54.0,3.774120599,2.391959773
55.0,3.69371859,2.412060276
56.0,3.754020097,2.412060276
57.0,3.754020097,2.492462285
58.0,3.774120599,2.492462285
59.0,3.754020097,2.492462285
60.0,3.754020097,2.492462285
61.0,3.774120599,2.572864294
62.0,3.774120599,2.572864294
63.0,3.774120599,2.572864294
64.0,3.774120599,2.633165801
65.0,3.774120599,2.653266303
66.0,3.774120599,2.592964797
67.0,3.774120599,2.653266303
68.0,3.774120599,2.673366806
69.0,3.774120599,2.71356781
70.0,3.774120599,2.733668312
71.0,3.774120599,2.733668312
72.0,3.713819092,2.793969819
73.0,3.774120599,2.733668312
74.0,3.774120599,2.814070322
75.0,3.69371859,2.814070322
76.0,3.774120599,2.733668312
77.0,3.754020097,2.814070322
78.0,3.774120599,2.814070322
79.0,3.774120599,2.814070322
80.0,3.774120599,2.834170824
81.0,3.774120599,2.894472331
82.0,3.774120599,2.874371828
83.0,3.774120599,2.894472331
84.0,3.774120599,2.914572833
85.0,3.774120599,2.894472331
86.0,3.774120599,2.894472331
87.0,3.774120599,2.894472331
88.0,3.774120599,2.894472331
89.0,3.774120599,2.894472331
90.0,3.774120599,2.914572833
91.0,3.774120599,2.954773838
92.0,3.774120599,2.97487434
93.0,3.834422106,2.914572833
94.0,3.774120599,2.914572833
95.0,3.774120599,2.97487434
96.0,3.774120599,3.035175847
97.0,3.774120599,2.97487434
98.0,3.774120599,2.97487434
99.0,3.774120599,2.97487434
100.0,3.774120599,3.055276349
101.0,3.774120599,2.97487434
102.0,3.774120599,2.97487434
103.0,3.794221102,3.055276349
104.0,3.774120599,3.035175847
105.0,3.774120599,2.994974842
106.0,3.834422106,3.055276349
107.0,3.774120599,3.035175847
108.0,3.794221102,3.055276349
109.0,3.774120599,3.055276349
110.0,3.774120599,3.055276349
111.0,3.854522608,2.994974842
112.0,3.794221102,3.055276349
113.0,3.834422106,3.055276349
114.0,3.794221102,3.055276349
115.0,3.834422106,3.055276349
116.0,3.774120599,3.055276349
117.0,3.774120599,3.075376852
118.0,3.794221102,3.055276349
119.0,3.834422106,3.055276349
120.0,3.794221102,3.055276349
121.0,3.794221102,3.055276349
122.0,3.834422106,3.075376852
123.0,3.834422106,3.115577856
124.0,3.854522608,3.115577856
125.0,3.834422106,3.115577856
126.0,3.854522608,3.075376852
127.0,3.854522608,3.075376852
128.0,3.774120599,3.055276349
129.0,3.854522608,3.055276349
130.0,3.834422106,3.075376852
131.0,3.854522608,3.135678358
132.0,3.854522608,3.115577856
133.0,3.794221102,3.135678358
134.0,3.854522608,3.135678358
135.0,3.854522608,3.135678358
136.0,3.854522608,3.135678358
137.0,3.854522608,3.135678358
138.0,3.854522608,3.135678358
139.0,3.794221102,3.135678358
140.0,3.834422106,3.055276349
141.0,3.854522608,3.135678358
142.0,3.834422106,3.135678358
143.0,3.854522608,3.135678358
144.0,3.854522608,3.135678358
145.0,3.854522608,3.135678358
146.0,3.854522608,3.135678358
147.0,3.854522608,3.135678358
148.0,3.854522608,3.135678358
149.0,3.854522608,3.135678358
