x-axis,1,2
second,Volt,Volt
-10.27654E-03,,
-10.27554E-03,,
-10.27454E-03,+3.77412060E+00,+167.23618E-03
-10.27354E-03,+3.77412060E+00,+160.80402E-03
-10.27254E-03,+3.70015075E+00,+160.80402E-03
-10.27154E-03,+3.77412060E+00,+160.80402E-03
-10.27054E-03,+3.77412060E+00,+160.80402E-03
-10.26954E-03,+3.77412060E+00,+160.80402E-03
-10.26854E-03,+3.70015075E+00,+160.80402E-03
-10.26754E-03,+3.77412060E+00,+160.80402E-03
-10.26654E-03,+3.70015075E+00,+160.80402E-03
-10.26554E-03,+3.77412060E+00,+160.80402E-03
-10.26454E-03,+3.70015075E+00,+160.80402E-03
-10.26354E-03,+3.77412060E+00,+160.80402E-03
-10.26254E-03,+3.77412060E+00,+160.80402E-03
-10.26154E-03,+3.77412060E+00,+160.80402E-03
-10.26054E-03,+3.77412060E+00,+160.80402E-03
-10.25954E-03,+3.70015075E+00,+160.80402E-03
-10.25854E-03,+3.70015075E+00,+167.23618E-03
-10.25754E-03,+3.77412060E+00,+160.80402E-03
-10.25654E-03,+3.70015075E+00,+160.80402E-03
-10.25554E-03,+3.77412060E+00,+160.80402E-03
-10.25454E-03,+3.77412060E+00,+160.80402E-03
-10.25354E-03,+3.69371859E+00,+160.80402E-03
-10.25254E-03,+3.76768844E+00,+160.80402E-03
-10.25154E-03,+3.77412060E+00,+167.23618E-03
-10.25054E-03,+3.76768844E+00,+160.80402E-03
-10.24954E-03,+3.77412060E+00,+160.80402E-03
-10.24854E-03,+3.76768844E+00,+160.80402E-03
-10.24754E-03,+3.70015075E+00,+154.37186E-03
-10.24654E-03,+3.77412060E+00,+160.80402E-03
-10.24554E-03,+3.70015075E+00,+160.80402E-03
-10.24454E-03,+3.70015075E+00,+160.80402E-03
-10.24354E-03,+3.77412060E+00,+160.80402E-03
-10.24254E-03,+3.76768844E+00,+160.80402E-03
-10.24154E-03,+3.77412060E+00,+160.80402E-03
-10.24054E-03,+3.76768844E+00,+160.80402E-03
-10.23954E-03,+3.77412060E+00,+160.80402E-03
-10.23854E-03,+3.69371859E+00,+160.80402E-03
-10.23754E-03,+3.77412060E+00,+160.80402E-03
-10.23654E-03,+3.77412060E+00,+160.80402E-03
-10.23554E-03,+3.77412060E+00,+160.80402E-03
-10.23454E-03,+3.76768844E+00,+160.80402E-03
-10.23354E-03,+3.77412060E+00,+160.80402E-03
-10.23254E-03,+3.76768844E+00,+160.80402E-03
-10.23154E-03,+3.76768844E+00,+160.80402E-03
