second,Volt1,Volt2
0.0,3.613316581,0.080402009
1.0,3.69371859,0.080402009
2.0,3.69371859,0.080402009
3.0,3.613316581,0.080402009
4.0,3.69371859,0.080402009
5.0,3.69371859,0.080402009
6.0,3.69371859,0.080402009
7.0,3.69371859,0.080402009
8.0,3.613316581,0.080402009
9.0,3.69371859,0.160804018
10.0,3.69371859,0.160804018
11.0,3.613316581,0.160804018
12.0,3.69371859,0.160804019
13.0,3.69371859,0.241206027
14.0,3.69371859,0.241206028
15.0,3.69371859,0.321608037
16.0,3.69371859,0.482412055
17.0,3.69371859,0.562814064
18.0,3.69371859,0.723618083
19.0,3.69371859,0.804020092
20.0,3.69371859,0.884422101
21.0,3.69371859,0.884422101
22.0,3.69371859,1.04522612
23.0,3.69371859,1.125628129
24.0,3.69371859,1.286432147
25.0,3.774120599,1.366834156
26.0,3.774120599,1.447236165
27.0,3.69371859,1.447236166
28.0,3.69371859,1.608040184
29.0,3.774120599,1.688442193
30.0,3.69371859,1.688442193
31.0,3.69371859,1.688442193
32.0,3.774120599,1.849246211
33.0,3.774120599,1.849246211
34.0,3.774120599,1.929648221
35.0,3.69371859,2.01005023
36.0,3.774120599,2.01005023
37.0,3.774120599,2.090452239
38.0,3.69371859,2.170854248
39.0,3.69371859,2.170854248
40.0,3.774120599,2.170854248
41.0,3.774120599,2.251256257
42.0,3.774120599,2.331658266
43.0,3.774120599,2.331658266
44.0,3.69371859,2.331658266
45.0,3.69371859,2.331658267
46.0,3.774120599,2.412060276
47.0,3.774120599,2.412060276
48.0,3.774120599,2.412060276
49.0,3.69371859,2.492462285
50.0,3.774120599,2.492462285
51.0,3.774120599,2.492462285
52.0,3.774120599,2.492462285
53.0,3.774120599,2.572864294
54.0,3.774120599,2.572864294
55.0,3.774120599,2.653266303
56.0,3.774120599,2.653266303
57.0,3.774120599,2.653266303
58.0,3.774120599,2.653266303
59.0,3.774120599,2.733668312
60.0,3.69371859,2.733668312
61.0,3.774120599,2.733668312
62.0,3.774120599,2.733668312
63.0,3.774120599,2.814070321
64.0,3.774120599,2.814070321
65.0,3.774120599,2.733668312
66.0,3.69371859,2.814070322
67.0,3.774120599,2.814070322
68.0,3.774120599,2.814070322
69.0,3.774120599,2.814070322
70.0,3.774120599,2.814070322
71.0,3.774120599,2.814070322
72.0,3.774120599,2.814070322
73.0,3.774120599,2.894472331
74.0,3.774120599,2.894472331
75.0,3.774120599,2.894472331
76.0,3.774120599,2.894472331
77.0,3.774120599,2.894472331
78.0,3.774120599,2.894472331
79.0,3.774120599,2.894472331
80.0,3.774120599,2.97487434
81.0,3.854522608,2.894472331
82.0,3.774120599,2.894472331
83.0,3.774120599,2.97487434
84.0,3.774120599,2.97487434
85.0,3.774120599,2.97487434
86.0,3.774120599,2.97487434
87.0,3.774120599,2.97487434
88.0,3.774120599,2.97487434
89.0,3.774120599,2.97487434
90.0,3.854522608,2.97487434
91.0,3.774120599,2.97487434
92.0,3.854522608,3.055276349
93.0,3.774120599,3.055276349
94.0,3.774120599,2.97487434
95.0,3.774120599,3.055276349
96.0,3.774120599,3.055276349
97.0,3.774120599,2.97487434
98.0,3.774120599,3.055276349
99.0,3.854522608,2.97487434
100.0,3.854522608,2.97487434
101.0,3.774120599,3.055276349
102.0,3.854522608,3.135678358
103.0,3.854522608,3.055276349
104.0,3.774120599,3.055276349
105.0,3.774120599,3.055276349
106.0,3.854522608,3.055276349
107.0,3.774120599,3.055276349
108.0,3.774120599,3.055276349
109.0,3.854522608,3.055276349
110.0,3.854522608,3.055276349
111.0,3.854522608,3.055276349
112.0,3.774120599,3.055276349
113.0,3.774120599,3.135678358
114.0,3.774120599,3.055276349
115.0,3.854522608,3.055276349
116.0,3.854522608,3.135678358
117.0,3.854522608,3.055276349
118.0,3.854522608,3.055276349
119.0,3.774120599,3.055276349
120.0,3.774120599,3.135678358
121.0,3.854522608,3.135678358
122.0,3.854522608,3.055276349
123.0,3.854522608,3.055276349
124.0,3.854522608,3.135678358
125.0,3.854522608,3.135678358
126.0,3.854522608,3.135678358
127.0,3.854522608,3.135678358
128.0,3.854522608,3.135678358
129.0,3.854522608,3.055276349
130.0,3.774120599,3.135678358
131.0,3.854522608,3.055276349
132.0,3.774120599,3.135678358
133.0,3.854522608,3.135678358
134.0,3.854522608,3.135678358
135.0,3.854522608,3.135678358
136.0,3.854522608,3.135678358
137.0,3.774120599,3.135678358
138.0,3.854522608,3.135678358
139.0,3.854522608,3.135678358
140.0,3.854522608,3.135678358
141.0,3.854522608,3.135678358
142.0,3.854522608,3.135678358
143.0,3.854522608,3.135678358
144.0,3.854522608,3.135678358
145.0,3.854522608,3.135678358
146.0,3.854522608,3.135678359
147.0,3.854522608,3.135678358
148.0,3.854522608,3.135678358
149.0,3.854522608,3.135678358
